FBgn_ID	Gene_Symbol	FBtr_ID	FBpp_ID
FBgn0033929	Tfb1	FBtr0087548	FBpp0086676
FBgn0085213	CG34184	FBtr0112377	FBpp0111292
FBgn0085471	CG34442	FBtr0112746	FBpp0111658
FBgn0085472	CG34443	FBtr0112747	FBpp0111659
FBgn0085473	CG34444	FBtr0112748	FBpp0111660
FBgn0050067	Obp50a	FBtr0087557	FBpp0086685
FBgn0050073	Obp50b	FBtr0303243	FBpp0292335
FBgn0050072	Obp50c	FBtr0346514	FBpp0312132
FBgn0050074	Obp50d	FBtr0087554	FBpp0086682
FBgn0085214	CG34185	FBtr0112378	FBpp0111293
FBgn0033931	Obp50e	FBtr0087556	FBpp0086684
FBgn0050075	CG30075	FBtr0087555	FBpp0086683
FBgn0033932	Dh44-R1	FBtr0087485	FBpp0086614
FBgn0033933	CG10104	FBtr0087486	FBpp0086615
FBgn0033934	CG17385	FBtr0339990	FBpp0309009
FBgn0033935	Sin1	FBtr0087487	FBpp0086616
FBgn0033936	Achl	FBtr0345529	FBpp0311633
FBgn0013725	phyl	FBtr0087516	FBpp0086645
FBgn0288433	L	FBtr0302927	FBpp0292053
FBgn0267824	PRAS40	FBtr0347396	FBpp0312548
FBgn0024698	Cpsf160	FBtr0089258	FBpp0089163
FBgn0261823	Asx	FBtr0087493	FBpp0086622
FBgn0033942	Cpr51A	FBtr0087514	FBpp0086643
FBgn0050197	CG30197	FBtr0087494	FBpp0086623
FBgn0265974	ttv	FBtr0333164	FBpp0305367
FBgn0050076	CG30076	FBtr0475302	FBpp0423411
FBgn0264540	CG43919	FBtr0333167	FBpp0305370
FBgn0010397	LamC	FBtr0087512	FBpp0086641
FBgn0033943	CG12869	FBtr0087496	FBpp0086625
FBgn0019938	Polr1A	FBtr0087511	FBpp0086640
FBgn0050077	Blos1	FBtr0301734	FBpp0290948
FBgn0003742	tra2	FBtr0089617	FBpp0088562
FBgn0033945	CG12868	FBtr0301735	FBpp0290949
FBgn0053469	CG33469	FBtr0087504	FBpp0086633
FBgn0053468	CG33468	FBtr0087503	FBpp0086632
FBgn0026427	Su(var)2-HP2	FBtr0087501	FBpp0086630
FBgn0010638	Sec61beta	FBtr0087498	FBpp0086627
FBgn0033948	CG12863	FBtr0087500	FBpp0086629
FBgn0033949	Had2	FBtr0087499	FBpp0086628
FBgn0262881	Mtkl	FBtr0345941	FBpp0311855
FBgn0033950	CG12862	FBtr0087484	FBpp0086613
FBgn0033951	CG10139	FBtr0339980	FBpp0309001
FBgn0033952	Adgf-E	FBtr0087482	FBpp0086611
FBgn0033953	CG12861	FBtr0087481	FBpp0086610
FBgn0033954	CG12860	FBtr0087480	FBpp0086609
FBgn0033955	Targ	FBtr0300764	FBpp0289988
FBgn0020269	mspo	FBtr0345427	FBpp0311552
FBgn0050479	CG30479	FBtr0332468	FBpp0304741
FBgn0050480	CG30480	FBtr0332466	FBpp0304739
FBgn0263376	CG43428	FBtr0475189	FBpp0423288
FBgn0033958	jef	FBtr0309056	FBpp0301077
FBgn0010388	Dro	FBtr0309055	FBpp0301076
FBgn0012042	AttA	FBtr0087437	FBpp0086567
FBgn0041581	AttB	FBtr0300942	FBpp0290164
FBgn0028689	Rpn6	FBtr0087474	FBpp0086603
FBgn0050476	ave	FBtr0087439	FBpp0086569
FBgn0033960	CG10151	FBtr0087471	FBpp0086600
FBgn0033961	ND-B15	FBtr0087440	FBpp0086570
FBgn0266723	Trs31	FBtr0087470	FBpp0086599
FBgn0033963	CG12857	FBtr0087469	FBpp0086598
FBgn0020767	Spred	FBtr0329880	FBpp0302915
FBgn0015602	BEAF-32	FBtr0087441	FBpp0086571
FBgn0001319	kn	FBtr0112810	FBpp0111722
FBgn0033968	hui	FBtr0087444	FBpp0086574
FBgn0033969	Pgm2b	FBtr0087464	FBpp0086594
FBgn0033970	CG10205	FBtr0087446	FBpp0086576
FBgn0016684	NaPi-T	FBtr0087463	FBpp0086593
FBgn0033971	CG10209	FBtr0087462	FBpp0086592
FBgn0027783	SMC2	FBtr0087461	FBpp0086591
FBgn0028434	Ercc1	FBtr0087448	FBpp0086578
FBgn0033972	Ciao1	FBtr0087460	FBpp0086590
FBgn0033973	HPS1	FBtr0087449	FBpp0086579
FBgn0053506	CG33506	FBtr0091446	FBpp0090944
FBgn0053505	U3-55K	FBtr0091445	FBpp0090943
FBgn0264962	Pcf11	FBtr0345528	FBpp0311632
FBgn0013773	Cyp6a22	FBtr0339983	FBpp0309004
FBgn0015714	Cyp6a17	FBtr0345527	FBpp0311631
FBgn0033978	Cyp6a23	FBtr0087452	FBpp0086582
FBgn0033979	Cyp6a19	FBtr0339984	FBpp0309005
FBgn0013771	Cyp6a9	FBtr0300128	FBpp0289405
FBgn0033980	Cyp6a20	FBtr0300127	FBpp0289404
FBgn0288232	Cyp6a21	FBtr0087456	FBpp0086586
FBgn0013772	Cyp6a8	FBtr0087455	FBpp0086585
FBgn0033982	Cyp317a1	FBtr0345873	FBpp0311812
FBgn0027596	Kank	FBtr0303757	FBpp0292769
FBgn0033983	Agps	FBtr0303761	FBpp0292773
FBgn0040747	CG12853	FBtr0087406	FBpp0086537
FBgn0033984	Lap1	FBtr0087407	FBpp0086538
FBgn0033985	CG10257	FBtr0087408	FBpp0086539
FBgn0261854	aPKC	FBtr0303434	FBpp0292491
FBgn0033987	ckn	FBtr0345946	FBpp0311860
FBgn0033988	pcs	FBtr0301507	FBpp0290722
FBgn0033989	CG7639	FBtr0087424	FBpp0086555
FBgn0033990	CG10265	FBtr0332259	FBpp0304549
FBgn0287864	hbs	FBtr0345419	FBpp0311546
FBgn0262547	CG43101	FBtr0304888	FBpp0293427
FBgn0043530	Obp51a	FBtr0087420	FBpp0086551
FBgn0053467	CG33467	FBtr0089861	FBpp0088800
FBgn0015371	chn	FBtr0305214	FBpp0293744
FBgn0262954	Polr2K	FBtr0112379	FBpp0111294
FBgn0033993	CG8089	FBtr0087418	FBpp0086549
FBgn0033994	CG7544	FBtr0087417	FBpp0086548
FBgn0013467	igl	FBtr0087361	FBpp0086494
FBgn0262478	CG43068	FBtr0304816	FBpp0293356
FBgn0259966	Sfp51E	FBtr0300323	FBpp0289553
FBgn0264377	CG43829	FBtr0332268	FBpp0304558
FBgn0033995	GPHR	FBtr0087404	FBpp0086535
FBgn0033996	CG11807	FBtr0310139	FBpp0301824
FBgn0259737	CG42391	FBtr0300042	FBpp0289319
FBgn0033998	row	FBtr0087402	FBpp0086533
FBgn0050081	Ir51b	FBtr0087365	FBpp0086497
FBgn0033999	vaha	FBtr0339997	FBpp0309016
FBgn0034000	CG11808	FBtr0087366	FBpp0086498
FBgn0034001	mRpL41	FBtr0087400	FBpp0086531
FBgn0034002	CG8079	FBtr0339993	FBpp0309012
FBgn0001187	Hex-C	FBtr0087399	FBpp0086530
FBgn0259878	Fs	FBtr0087398	FBpp0089409
FBgn0286785	scb	FBtr0087369	FBpp0086501
FBgn0034005	ItgaPS4	FBtr0087371	FBpp0086503
FBgn0265194	Trpm	FBtr0339074	FBpp0308220
FBgn0034007	ND-51L2	FBtr0087393	FBpp0086525
FBgn0034008	CG8152	FBtr0087392	FBpp0086524
FBgn0004698	Xpc	FBtr0087373	FBpp0086505
FBgn0034009	CG8155	FBtr0087391	FBpp0086523
FBgn0013750	Arf6	FBtr0087375	FBpp0086507
FBgn0034010	CG8157	FBtr0340000	FBpp0309019
FBgn0034011	CG8160	FBtr0087389	FBpp0086521
FBgn0034012	Hr51	FBtr0114456	FBpp0112948
FBgn0034013	unc-5	FBtr0339998	FBpp0309017
FBgn0011660	Pms2	FBtr0087388	FBpp0086520
FBgn0000996	dup	FBtr0087387	FBpp0086519
FBgn0286813	SRPK	FBtr0479824	FBpp0428157
FBgn0263980	Stacl	FBtr0330011	FBpp0303046
FBgn0014865	Mtk	FBtr0087386	FBpp0086518
FBgn0050472	CG30472	FBtr0332396	FBpp0304670
FBgn0085217	CG34188	FBtr0112381	FBpp0111296
FBgn0034021	CG8180	FBtr0345392	FBpp0311542
FBgn0034022	CG12964	FBtr0273307	FBpp0271815
FBgn0034023	Ir52a	FBtr0273302	FBpp0271810
FBgn0050469	Ir52b	FBtr0273350	FBpp0271858
FBgn0050468	Ir52c	FBtr0087329	FBpp0086462
FBgn0050464	Ir52d	FBtr0273344	FBpp0271852
FBgn0034025	Pgant1	FBtr0087331	FBpp0086464
FBgn0019968	Khc-73	FBtr0329956	FBpp0302988
FBgn0050471	CG30471	FBtr0329954	FBpp0302986
FBgn0050467	CG30467	FBtr0087334	FBpp0086467
FBgn0034027	CG8187	FBtr0087355	FBpp0086488
FBgn0022097	Vha36-1	FBtr0087335	FBpp0086468
FBgn0034029	eIF2Bgamma	FBtr0087336	FBpp0086469
FBgn0034030	CG8192	FBtr0087354	FBpp0086487
FBgn0034031	CG12963	FBtr0331963	FBpp0304294
FBgn0034032	CG8195	FBtr0087353	FBpp0086486
FBgn0024754	Flo1	FBtr0087351	FBpp0086484
FBgn0050466	CG30466	FBtr0340004	FBpp0309023
FBgn0013762	Cdk5	FBtr0087350	FBpp0086483
FBgn0034033	CG8204	FBtr0087349	FBpp0086482
FBgn0260429	CG42524	FBtr0340006	FBpp0309025
FBgn0023441	fus	FBtr0087345	FBpp0086478
FBgn0034035	Gmppa	FBtr0087342	FBpp0086475
FBgn0262512	Vha14-1	FBtr0087341	FBpp0086474
FBgn0050091	CG30091	FBtr0087277	FBpp0086415
FBgn0284254	Impbeta11	FBtr0087278	FBpp0086416
FBgn0050082	CG30082	FBtr0302917	FBpp0292043
FBgn0266708	Cep89	FBtr0087320	FBpp0086454
FBgn0050090	Erasp	FBtr0087279	FBpp0086417
FBgn0050088	CG30088	FBtr0273296	FBpp0271804
FBgn0050087	CG30087	FBtr0100573	FBpp0100028
FBgn0053460	CG33460	FBtr0100642	FBpp0100103
FBgn0053461	CG33461	FBtr0302528	FBpp0291690
FBgn0053462	CG33462	FBtr0087284	FBpp0086420
FBgn0050080	CG30080	FBtr0087319	FBpp0086453
FBgn0261538	CG42662	FBtr0302555	FBpp0291711
FBgn0286939	CG46433	FBtr0475218	FBpp0423322
FBgn0050083	CG30083	FBtr0300381	FBpp0289610
FBgn0050089	CG30089	FBtr0087285	FBpp0086421
FBgn0265991	Zasp52	FBtr0087315	FBpp0086449
FBgn0034046	tun	FBtr0340013	FBpp0309027
FBgn0053465	CG33465	FBtr0301048	FBpp0290270
FBgn0003130	Poxn	FBtr0329908	FBpp0302942
FBgn0034045	CG8249	FBtr0308818	FBpp0300975
FBgn0034047	cGlr1	FBtr0308816	FBpp0300973
FBgn0022160	Gpo1	FBtr0087307	FBpp0086442
FBgn0050085	Rif1	FBtr0087306	FBpp0086441
FBgn0264089	sli	FBtr0330732	FBpp0303576
FBgn0053463	CG33463	FBtr0479950	FBpp0428277
FBgn0034049	bdg	FBtr0087298	FBpp0086433
FBgn0015247	Diap2	FBtr0087297	FBpp0086432
FBgn0034050	bug	FBtr0087290	FBpp0086426
FBgn0034051	Mlf	FBtr0087293	FBpp0086429
FBgn0034052	CG8299	FBtr0087291	FBpp0086427
FBgn0034053	Cyp4aa1	FBtr0114558	FBpp0113050
FBgn0050093	COX6AL	FBtr0087199	FBpp0086341
FBgn0265045	Strn-Mlck	FBtr0336651	FBpp0307635
FBgn0034054	CG8366	FBtr0087201	FBpp0086343
FBgn0034057	CG8314	FBtr0087268	FBpp0086406
FBgn0034058	Pex11ab	FBtr0087267	FBpp0086405
FBgn0034059	Tmem208	FBtr0087202	FBpp0086344
FBgn0020236	Acly	FBtr0300597	FBpp0289824
FBgn0034060	Tmem131	FBtr0087203	FBpp0086345
FBgn0034061	Ufc1	FBtr0087264	FBpp0086402
FBgn0034063	CG8389	FBtr0087204	FBpp0086346
FBgn0034062	CG8388	FBtr0087263	FBpp0086401
FBgn0010590	Prosbeta1	FBtr0087262	FBpp0086400
FBgn0034065	Rrp42	FBtr0087206	FBpp0086348
FBgn0034066	EMC7	FBtr0087261	FBpp0086399
FBgn0034067	CG8399	FBtr0087207	FBpp0086349
FBgn0034068	casp	FBtr0087260	FBpp0086398
FBgn0034069	CG8401	FBtr0301196	FBpp0290414
FBgn0034070	SP2353	FBtr0340019	FBpp0309033
FBgn0034071	CG8405	FBtr0340020	FBpp0309034
FBgn0034072	Dg	FBtr0306238	FBpp0297348
FBgn0083983	mRpL34	FBtr0111011	FBpp0110310
FBgn0034073	Nol9	FBtr0087255	FBpp0086393
FBgn0014020	Rho1	FBtr0087212	FBpp0086354
FBgn0265605	Ric	FBtr0087254	FBpp0086392
FBgn0034075	Asph	FBtr0336734	FBpp0307715
FBgn0034076	Jhedup	FBtr0087222	FBpp0086361
FBgn0010052	Jhe	FBtr0087223	FBpp0086362
FBgn0050095	CG30095	FBtr0087224	FBpp0086363
FBgn0086676	spin	FBtr0089589	FBpp0088548
FBgn0001124	Got1	FBtr0087231	FBpp0086370
FBgn0050094	CG30094	FBtr0087233	FBpp0086372
FBgn0027091	CysRS	FBtr0087234	FBpp0086373
FBgn0029175	sotv	FBtr0100513	FBpp0099953
FBgn0034081	CG10731	FBtr0345647	FBpp0311708
FBgn0034083	lbk	FBtr0302084	FBpp0291294
FBgn0034082	CG10734	FBtr0087250	FBpp0086388
FBgn0034084	CG8435	FBtr0087249	FBpp0086387
FBgn0034085	Ptp52F	FBtr0289985	FBpp0288423
FBgn0015754	Lis-1	FBtr0087236	FBpp0086375
FBgn0034086	CG8441	FBtr0304748	FBpp0293290
FBgn0034087	clu	FBtr0087242	FBpp0086380
FBgn0262166	caly	FBtr0087245	FBpp0086383
FBgn0265177	CG44242	FBtr0339084	FBpp0308229
FBgn0262026	CG42837	FBtr0303860	FBpp0292866
FBgn0265178	Lipt1	FBtr0339086	FBpp0308231
FBgn0015295	Shark	FBtr0087244	FBpp0086382
FBgn0034091	mrj	FBtr0087193	FBpp0086337
FBgn0034092	CG7798	FBtr0087192	FBpp0086336
FBgn0034093	CG15706	FBtr0087191	FBpp0086335
FBgn0034094	Tsf3	FBtr0087130	FBpp0086274
FBgn0034095	CG15701	FBtr0087131	FBpp0086275
FBgn0034096	CG7786	FBtr0087190	FBpp0086334
FBgn0034097	CG3687	FBtr0087132	FBpp0086276
FBgn0034098	krimp	FBtr0087189	FBpp0086333
FBgn0034099	CG15708	FBtr0087188	FBpp0086332
FBgn0261612	CngA	FBtr0302925	FBpp0292051
FBgn0025519	fidipidine	FBtr0087185	FBpp0086329
FBgn0015925	csul	FBtr0089871	FBpp0088810
FBgn0001308	Khc	FBtr0087184	FBpp0086328
FBgn0053017	CG33017	FBtr0345872	FBpp0311811
FBgn0024249	cato	FBtr0087183	FBpp0086327
FBgn0034103	prim	FBtr0087136	FBpp0086280
FBgn0034104	CG15705	FBtr0087137	FBpp0086281
FBgn0034105	CG7755	FBtr0087182	FBpp0086326
FBgn0034106	CG9068	FBtr0087138	FBpp0086282
FBgn0050324	CG30324	FBtr0087181	FBpp0086325
FBgn0050099	CG30099	FBtr0087180	FBpp0086324
FBgn0028424	JhI-26	FBtr0087139	FBpp0086283
FBgn0050100	CG30100	FBtr0087140	FBpp0086284
FBgn0259718	CG42372	FBtr0299971	FBpp0289248
FBgn0034109	CG7747	FBtr0087179	FBpp0086323
FBgn0034110	Atg9	FBtr0087141	FBpp0086285
FBgn0085428	Nox	FBtr0345378	FBpp0311529
FBgn0034113	CG8060	FBtr0087178	FBpp0086322
FBgn0050096	CG30096	FBtr0289994	FBpp0288433
FBgn0034114	CG4282	FBtr0087144	FBpp0086288
FBgn0287825	Vha44	FBtr0290032	FBpp0288471
FBgn0010611	Hmgs	FBtr0087145	FBpp0086289
FBgn0034117	CG7997	FBtr0087171	FBpp0086315
FBgn0034118	Nup62	FBtr0087150	FBpp0086294
FBgn0262560	wcd	FBtr0087170	FBpp0086314
FBgn0034120	CG15710	FBtr0087169	FBpp0086313
FBgn0050098	CG30098	FBtr0087168	FBpp0086312
FBgn0034121	Trehl	FBtr0087151	FBpp0086295
FBgn0034122	CG15711	FBtr0340061	FBpp0309067
FBgn0262816	CG43187	FBtr0345656	FBpp0311715
FBgn0264273	Sema2b	FBtr0329991	FBpp0303026
FBgn0029153	Menl-2	FBtr0301868	FBpp0291082
FBgn0029154	Menl-1	FBtr0301869	FBpp0291083
FBgn0034126	jtb	FBtr0087157	FBpp0086301
FBgn0034127	CG7848	FBtr0087160	FBpp0086304
FBgn0034128	CG4409	FBtr0113085	FBpp0111998
FBgn0034129	Parp16	FBtr0087159	FBpp0086303
FBgn0261292	CheB53a	FBtr0091520	FBpp0090972
FBgn0261293	CheB53b	FBtr0091479	FBpp0090958
FBgn0034131	CG15712	FBtr0087127	FBpp0086273
FBgn0053458	CG33458	FBtr0087085	FBpp0086233
FBgn0053459	CG33459	FBtr0089859	FBpp0088798
FBgn0034132	S-Lap8	FBtr0087087	FBpp0086235
FBgn0285943	knon	FBtr0087126	FBpp0086272
FBgn0011260	Sema2a	FBtr0087088	FBpp0086236
FBgn0259795	loopin-1	FBtr0113086	FBpp0111999
FBgn0034135	Syn2	FBtr0087093	FBpp0086240
FBgn0034136	DAT	FBtr0087125	FBpp0086271
FBgn0034137	CG4945	FBtr0087098	FBpp0086245
FBgn0034138	RpS15	FBtr0087123	FBpp0086269
FBgn0034139	CG4927	FBtr0100547	FBpp0099998
FBgn0034140	Lst	FBtr0087122	FBpp0086268
FBgn0016131	Cdk4	FBtr0087102	FBpp0086249
FBgn0003274	RpLP2	FBtr0087105	FBpp0086252
FBgn0034141	Dolk	FBtr0087121	FBpp0086267
FBgn0034142	CG8306	FBtr0087120	FBpp0086266
FBgn0034143	CG8303	FBtr0340065	FBpp0309071
FBgn0034144	CG5089	FBtr0087107	FBpp0086253
FBgn0034145	CG5065	FBtr0087108	FBpp0086254
FBgn0040505	Alk	FBtr0331926	FBpp0304259
FBgn0024232	gprs	FBtr0087109	FBpp0086255
FBgn0020506	Amyrel	FBtr0087117	FBpp0086263
FBgn0024319	Nach	FBtr0087116	FBpp0086262
FBgn0024315	Picot	FBtr0087114	FBpp0086260
FBgn0085486	CG34457	FBtr0112763	FBpp0111675
FBgn0085487	CG34458	FBtr0112764	FBpp0111676
FBgn0050463	Pgant9	FBtr0087112	FBpp0086258
FBgn0013763	Idgf6	FBtr0340066	FBpp0309072
FBgn0259967	Sfp53D	FBtr0345495	FBpp0311606
FBgn0034151	CG15617	FBtr0087083	FBpp0086231
FBgn0034152	Acp53C14a	FBtr0345494	FBpp0311605
FBgn0034153	Acp53C14b	FBtr0345493	FBpp0311604
FBgn0015584	Acp53Ea	FBtr0087080	FBpp0086228
FBgn0053530	Acp53C14c	FBtr0091496	FBpp0100040
FBgn0267002	unc-104	FBtr0113087	FBpp0112000
FBgn0085218	CG34189	FBtr0112382	FBpp0111297
FBgn0034154	CG5267	FBtr0473617	FBpp0423080
FBgn0259738	CG42392	FBtr0300043	FBpp0289320
FBgn0034156	CG5348	FBtr0305318	FBpp0293861
FBgn0010213	Sod2	FBtr0345492	FBpp0311603
FBgn0011743	Arp53D	FBtr0340069	FBpp0309075
FBgn0053544	Vkor	FBtr0091510	FBpp0099770
FBgn0034157	resilin	FBtr0087025	FBpp0086176
FBgn0034158	RalGPS	FBtr0087026	FBpp0086177
FBgn0040743	CG15919	FBtr0087032	FBpp0086183
FBgn0034159	CG15615	FBtr0300552	FBpp0289779
FBgn0034160	CG5550	FBtr0087033	FBpp0086184
FBgn0085488	CG34459	FBtr0345377	FBpp0311528
FBgn0085489	CG34460	FBtr0112766	FBpp0111678
FBgn0026754	Ugt37C1	FBtr0481635	FBpp0428417
FBgn0289323	IntS8	FBtr0087036	FBpp0086186
FBgn0025832	Fen1	FBtr0087075	FBpp0086223
FBgn0026533	Dek	FBtr0332946	FBpp0305164
FBgn0014870	Psi	FBtr0087073	FBpp0086221
FBgn0028737	eEF1beta	FBtr0345627	FBpp0311691
FBgn0034162	CG6426	FBtr0087042	FBpp0086191
FBgn0025827	CG6421	FBtr0087043	FBpp0086192
FBgn0046999	CG6429	FBtr0087044	FBpp0086193
FBgn0034165	CG6435	FBtr0087045	FBpp0086194
FBgn0025833	CG8910	FBtr0087071	FBpp0086219
FBgn0034166	CG6472	FBtr0340070	FBpp0309076
FBgn0004784	inaC	FBtr0087047	FBpp0086196
FBgn0003091	Pkc53E	FBtr0331960	FBpp0304291
FBgn0264329	CG43788	FBtr0331961	FBpp0304292
FBgn0264330	CG43789	FBtr0331962	FBpp0304293
FBgn0034168	CG15614	FBtr0087050	FBpp0086199
FBgn0085219	CG34190	FBtr0112383	FBpp0111298
FBgn0262513	Vha16-4	FBtr0087070	FBpp0086218
FBgn0085444	mute	FBtr0112691	FBpp0111603
FBgn0085220	Ufm1	FBtr0112384	FBpp0111299
FBgn0265174	PIG-V	FBtr0339071	FBpp0308217
FBgn0034172	CG6665	FBtr0087054	FBpp0086203
FBgn0034173	Gapdh3	FBtr0087067	FBpp0086215
FBgn0004580	Cbp53E	FBtr0087056	FBpp0086204
FBgn0050462	ste24c	FBtr0100120	FBpp0100158
FBgn0050461	CG30461	FBtr0344459	FBpp0310831
FBgn0034175	ste24b	FBtr0087060	FBpp0086208
FBgn0034176	ste24a	FBtr0087059	FBpp0086207
FBgn0034177	AsnRS-m	FBtr0087057	FBpp0086205
FBgn0026402	NiPp1	FBtr0087058	FBpp0086206
FBgn0034179	CG6805	FBtr0086966	FBpp0086120
FBgn0034180	Ehbp1	FBtr0340073	FBpp0309079
FBgn0034181	Paip1	FBtr0087017	FBpp0086168
FBgn0263864	Dark	FBtr0086967	FBpp0086121
FBgn0023172	RhoGEF2	FBtr0086969	FBpp0086123
FBgn0263032	CG43327	FBtr0306912	FBpp0297766
FBgn0263033	CG43328	FBtr0306913	FBpp0297767
FBgn0263114	CG43371	FBtr0307338	FBpp0298339
FBgn0034182	SmydA-7	FBtr0331984	FBpp0304309
FBgn0034183	SmydA-6	FBtr0086973	FBpp0086127
FBgn0034184	CG9646	FBtr0086974	FBpp0086128
FBgn0026721	fat-spondin	FBtr0086975	FBpp0086129
FBgn0086350	tef	FBtr0087014	FBpp0086165
FBgn0034186	Gtf3c3	FBtr0306810	FBpp0297722
FBgn0034187	Mov10	FBtr0300276	FBpp0289504
FBgn0050460	CG30460	FBtr0113378	FBpp0112290
FBgn0010591	Sply	FBtr0087007	FBpp0086158
FBgn0034191	CG6984	FBtr0086979	FBpp0086132
FBgn0010226	GstS1	FBtr0333551	FBpp0305731
FBgn0287631	CG46491	FBtr0479999	FBpp0428286
FBgn0287632	CG46492	FBtr0480000	FBpp0428287
FBgn0034194	CG15611	FBtr0086981	FBpp0086134
FBgn0000079	Amy-p	FBtr0345521	FBpp0311627
FBgn0034195	Spn53F	FBtr0110777	FBpp0110074
FBgn0000078	Amy-d	FBtr0086983	FBpp0086136
FBgn0034196	CG15605	FBtr0087002	FBpp0086153
FBgn0034197	Cda9	FBtr0340127	FBpp0309120
FBgn0266811	CG45273	FBtr0475190	FBpp0423289
FBgn0083936	Acp54A1	FBtr0110768	FBpp0110064
FBgn0034198	CG11400	FBtr0345517	FBpp0311625
FBgn0034199	Gbp1	FBtr0086986	FBpp0086139
FBgn0034200	Gbp2	FBtr0345519	FBpp0311626
FBgn0262563	CG43103	FBtr0304891	FBpp0293430
FBgn0262567	CG43107	FBtr0304890	FBpp0293429
FBgn0034201	CG17290	FBtr0346643	FBpp0312223
FBgn0034202	CG17287	FBtr0087000	FBpp0086152
FBgn0050458	CG30458	FBtr0086999	FBpp0086151
FBgn0050457	CG30457	FBtr0086998	FBpp0086150
FBgn0034204	CG10953	FBtr0329878	FBpp0302913
FBgn0265538	CG44388	FBtr0445674	FBpp0401593
FBgn0034205	CG10950	FBtr0086990	FBpp0086142
FBgn0262882	CG43237	FBtr0306290	FBpp0297400
FBgn0265487	mbl	FBtr0310346	FBpp0302029
FBgn0034206	CG18469	FBtr0086996	FBpp0086148
FBgn0046294	CG12699	FBtr0300762	FBpp0289986
FBgn0262961	CG43272	FBtr0479885	FBpp0428218
FBgn0262568	CG43108	FBtr0304895	FBpp0293434
FBgn0010620	CG10939	FBtr0086909	FBpp0086065
FBgn0034210	Camp	FBtr0086964	FBpp0086119
FBgn0050101	Vajk4	FBtr0086963	FBpp0086118
FBgn0016697	Prosalpha5	FBtr0086910	FBpp0086066
FBgn0286070	cnk	FBtr0340214	FBpp0309189
FBgn0022029	l(2)k01209	FBtr0086912	FBpp0086068
FBgn0034214	CG6550	FBtr0086961	FBpp0086116
FBgn0034215	Mtap	FBtr0345803	FBpp0311789
FBgn0025716	Bap55	FBtr0086960	FBpp0086115
FBgn0034217	Lhr	FBtr0086917	FBpp0086073
FBgn0027506	EDTP	FBtr0086958	FBpp0086114
FBgn0034218	CG18467	FBtr0086918	FBpp0086074
FBgn0034219	mthl4	FBtr0086957	FBpp0086113
FBgn0028956	mthl3	FBtr0086955	FBpp0086111
FBgn0034221	CG10764	FBtr0086919	FBpp0086075
FBgn0263233	robls54B	FBtr0340210	FBpp0309185
FBgn0024196	robl	FBtr0086920	FBpp0086076
FBgn0028953	CG14478	FBtr0345418	FBpp0311545
FBgn0034223	Tes	FBtr0086954	FBpp0086110
FBgn0022987	qkr54B	FBtr0331464	FBpp0303881
FBgn0034224	insb	FBtr0345651	FBpp0311712
FBgn0262570	CG43110	FBtr0345650	FBpp0311711
FBgn0034225	veil	FBtr0340209	FBpp0309184
FBgn0050104	NT5E-2	FBtr0086927	FBpp0086083
FBgn0050103	CG30103	FBtr0086929	FBpp0086085
FBgn0283508	nw	FBtr0305703	FBpp0296983
FBgn0085222	CG34193	FBtr0345622	FBpp0311690
FBgn0034229	CtsK2	FBtr0086933	FBpp0086089
FBgn0034230	CG4853	FBtr0086938	FBpp0086094
FBgn0034231	APC10	FBtr0086951	FBpp0086107
FBgn0034232	CG4866	FBtr0086940	FBpp0086096
FBgn0263197	Patronin	FBtr0273446	FBpp0271954
FBgn0034237	eIF3b	FBtr0086941	FBpp0086097
FBgn0263113	Cc2d2a	FBtr0307337	FBpp0298338
FBgn0085223	CG34194	FBtr0340218	FBpp0309193
FBgn0028382	cyp33	FBtr0086945	FBpp0086101
FBgn0010409	RpL18A	FBtr0086947	FBpp0086103
FBgn0034240	MESR4	FBtr0113090	FBpp0112003
FBgn0263076	Klp54D	FBtr0392907	FBpp0352249
FBgn0263029	CG43324	FBtr0306907	FBpp0297761
FBgn0034242	CG14480	FBtr0086827	FBpp0086006
FBgn0286931	CG46428	FBtr0475304	FBpp0423413
FBgn0034243	Ns2	FBtr0086906	FBpp0086063
FBgn0040294	POSH	FBtr0086828	FBpp0086007
FBgn0034245	UQCR-6.4	FBtr0329864	FBpp0302902
FBgn0250868	CG42239	FBtr0290307	FBpp0288746
FBgn0016701	Rab4	FBtr0086830	FBpp0086009
FBgn0034246	Dcr-2	FBtr0086904	FBpp0086061
FBgn0034247	CG6484	FBtr0086903	FBpp0086060
FBgn0034248	CG14483	FBtr0345525	FBpp0311629
FBgn0034249	RhoGAP54D	FBtr0086900	FBpp0086058
FBgn0029079	icln	FBtr0086832	FBpp0086010
FBgn0050105	CG30105	FBtr0086899	FBpp0086057
FBgn0029006	Smurf	FBtr0333168	FBpp0305371
FBgn0034251	ND-51L1	FBtr0086834	FBpp0086012
FBgn0264541	CG43920	FBtr0344699	FBpp0311033
FBgn0261501	CG42649	FBtr0302392	FBpp0291587
FBgn0034253	CG10936	FBtr0086895	FBpp0086054
FBgn0265576	CG44403	FBtr0340215	FBpp0309190
FBgn0004400	rhi	FBtr0086897	FBpp0086056
FBgn0034255	Oxp	FBtr0086896	FBpp0086055
FBgn0050106	CCHa1-R	FBtr0086893	FBpp0086052
FBgn0034258	eIF3c	FBtr0340269	FBpp0309235
